Key	Farnell	FarnellAlt1
CPOL-EU153CLV-0405:10u/16V	9265554	9696920
CPOL-EU153CLV-0605:10u/50V	2068686	
CPOL-EU153CLV-0605:33u/25V	2326209	
CPOL-EU153CLV-0605:68u/25V	2326209	
DIODE-SMB:SS110B	1861422	
PTCFUSE-1812:140mA	1345923	
DIODE-SOD323-W:BAT46WH	2069340	
C-EUC0805K:4.7u/16V	1759427	
BC847	1081232	
DIODE-SMB:SM6T39A	9802703	
LM5008MM	2112610	
LD1117S50	1467780	
LD1117S33	1467779	
LEDCHIPLED_0805:GREEN	2290331	
LEDCHIPLED_0805:RED	1318244	
MA07-1:	1516283	
ATXmega32A4U	2443192	
L-USWE-TPC:150u/250mA	2328764	
R-EU_M0805:2R2	2078937	
C-EUC0805K:100n	2320839	
R-EU_M0805:390k	9234322	
R-EU_M0805:1k	2078954	
R-EU_M0805:10R	2073604	
R-EU_M0805:470R	2073777	
R-EU_M0805:4k7	2074469	
R-EU_M0805:100k	2073608	
R-EU_M0805:240k	2139055	
FT232RL	1146032	
